,min,max,median
delivery_delay_days,-147.0,188.0,-12.0
is_late,0.0,1.0,0.0
approval_wait_hours,0.0,4509.180555555556,0.3433333333333333
carrier_wait_days,-172.0,125.0,1.0
order_dayofweek,0.0,6.0,3.0
order_hour,0.0,23.0,15.0
total_items,1.0,21.0,1.0
total_price,0.85,13440.0,86.9
total_freight,0.0,1794.96,17.17
avg_price,0.85,6735.0,79.0
max_price,0.85,6735.0,79.9
price_to_freight_ratio,0.0466,40.09307500000005,4.4568
payment_installments,0.0,24.0,2.0
payment_value,0.0,13664.08,105.29
product_weight_g,0.0,40425.0,700.0
product_photos_qty,1.0,20.0,2.0
product_description_lenght,4.0,3992.0,607.0
category_bad_rate,0.0,0.5,0.121405750798722
state_bad_rate,0.0588235294117647,0.2058111380145278,0.1195530726256983
same_state,0.0,1.0,0.0
customer_past_bad_orders,0.0,3.0,0.0
pay_credit_card,False,True,1.0
pay_debit_card,False,True,0.0
pay_not_defined,False,True,0.0
pay_voucher,False,True,0.0
season_Spring,False,True,0.0
season_Summer,False,True,0.0
season_Winter,False,True,0.0
