delivery_delay_days,is_late,approval_wait_hours,carrier_wait_days,order_dayofweek,order_hour,total_items,total_price,total_freight,avg_price,max_price,price_to_freight_ratio,payment_installments,payment_value,product_weight_g,product_photos_qty,product_description_lenght,category_bad_rate,state_bad_rate,same_state,customer_past_bad_orders,pay_credit_card,pay_debit_card,pay_not_defined,pay_voucher,season_Spring,season_Summer,season_Winter,is_bad_order
-8.0,0,0.17833333333333334,2.0,0,10,1.0,29.99,8.72,29.99,29.99,3.4392,1.0,38.71,500.0,4.0,268.0,0.11821305841924398,0.11095673837014325,1,0,False,False,False,True,True,False,False,0
-6.0,0,30.71388888888889,0.0,1,20,1.0,118.7,22.76,118.7,118.7,5.2153,1.0,141.46,400.0,1.0,178.0,0.11785260482846252,0.16715976331360946,0,0,False,False,False,False,False,False,True,0
-18.0,0,0.2761111111111111,0.0,2,8,1.0,159.9,19.22,159.9,159.9,8.3195,3.0,179.12,420.0,1.0,232.0,0.13099535843218155,0.13366336633663367,0,0,True,False,False,False,False,False,True,0
-13.0,0,0.2980555555555556,3.0,5,19,1.0,45.0,27.2,45.0,45.0,1.6544,1.0,72.2,450.0,3.0,468.0,0.10294117647058823,0.12577319587628866,0,0,True,False,False,False,True,False,False,0
-10.0,0,1.0305555555555554,0.0,1,21,1.0,19.9,8.72,19.9,19.9,2.2821,1.0,28.62,250.0,4.0,316.0,0.10052447552447552,0.11095673837014325,1,0,True,False,False,False,False,True,False,0
-6.0,0,0.21888888888888888,1.0,6,21,1.0,147.9,27.36,147.9,147.9,5.4057,6.0,175.26,7150.0,1.0,608.0,0.13099535843218155,0.11000991080277503,0,0,True,False,False,False,False,False,True,0
-12.0,0,49.0525,1.0,1,12,1.0,49.9,16.05,49.9,49.9,3.109,1.0,65.95,600.0,,,0.12970505123641154,0.1207464324917673,0,0,True,False,False,False,False,False,False,0
-12.0,0,0.1947222222222222,5.0,1,13,1.0,59.99,15.17,59.99,59.99,3.9545,3.0,75.16,50.0,1.0,956.0,0.13099535843218155,0.1805944600062247,0,0,True,False,False,False,False,False,False,0
-32.0,0,32.36055555555556,1.0,0,18,1.0,19.9,16.05,19.9,19.9,1.2399,1.0,35.95,300.0,2.0,432.0,0.14926077382824787,0.1207464324917673,0,0,False,False,False,False,False,True,False,1
-7.0,0,0.175,12.0,5,11,1.0,149.99,19.77,149.99,149.99,7.5867,1.0,169.76,9750.0,1.0,527.0,0.21422924901185772,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-9.0,0,0.15222222222222223,1.0,1,19,2.0,198.0,61.06,99.0,99.0,3.2427,1.0,259.06,9000.0,1.0,450.0,0.12067486416928797,0.1805944600062247,0,0,True,False,False,False,False,False,False,1
-20.0,0,0.19916666666666666,0.0,3,19,1.0,98.0,16.13,98.0,98.0,6.0756,1.0,114.13,325.0,1.0,2574.0,0.1456675176452921,0.11095673837014325,0,0,True,False,False,False,False,False,True,0
-29.0,0,41.11472222222222,2.0,3,10,1.0,31.9,18.23,31.9,31.9,1.7499,1.0,50.13,450.0,1.0,685.0,0.11785260482846252,0.11955307262569832,0,0,False,False,False,False,False,False,True,0
-9.0,0,0.18444444444444444,0.0,2,17,1.0,19.9,12.8,19.9,19.9,1.5547,3.0,32.7,200.0,1.0,155.0,0.15525212342758843,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-9.0,0,0.9386111111111111,1.0,3,14,1.0,38.25,16.11,38.25,38.25,2.3743,1.0,54.36,583.0,2.0,341.0,0.11685276551545053,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-13.0,0,124.46388888888889,-2.0,3,19,1.0,132.4,14.05,132.4,132.4,9.4235,10.0,146.45,150.0,3.0,991.0,0.11785260482846252,0.13366336633663367,0,0,True,False,False,False,False,False,True,0
-17.0,0,0.13916666666666666,0.0,1,19,1.0,1299.0,77.45,1299.0,1299.0,16.7721,10.0,1376.45,20850.0,2.0,143.0,0.13189771197846567,0.1805944600062247,0,0,True,False,False,False,False,True,False,0
-21.0,0,0.1475,1.0,1,23,1.0,27.99,15.1,27.99,27.99,1.8536,4.0,43.09,300.0,6.0,818.0,0.1396514681308188,0.13087709650811108,0,0,True,False,False,False,False,True,False,0
-14.0,0,0.17805555555555555,2.0,1,0,1.0,17.9,11.85,17.9,17.9,1.5105,1.0,29.75,250.0,1.0,125.0,0.15525212342758843,0.11095673837014325,1,0,True,False,False,False,True,False,False,0
-15.0,0,0.23,0.0,3,15,1.0,76.0,16.97,76.0,76.0,4.4785,1.0,92.97,325.0,1.0,973.0,0.1396514681308188,0.16715976331360946,0,0,False,False,False,True,True,False,False,0
11.0,1,13.544166666666667,17.0,0,14,1.0,109.9,8.96,109.9,109.9,12.2656,1.0,118.86,525.0,6.0,2345.0,0.11450641826650006,0.11095673837014325,1,0,False,False,False,False,True,False,False,1
-10.0,0,0.2808333333333333,0.0,3,8,1.0,79.99,8.91,79.99,79.99,8.9775,4.0,88.9,250.0,3.0,492.0,0.11450641826650006,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-13.0,0,0.21305555555555555,2.0,5,20,1.0,9.5,7.78,9.5,9.5,1.2211,1.0,17.28,200.0,1.0,511.0,0.13012618296529968,0.11095673837014325,1,0,True,False,False,False,False,True,False,0
-26.0,0,0.20055555555555554,16.0,0,7,1.0,129.99,57.58,129.99,129.99,2.2576,3.0,187.57,14950.0,1.0,1058.0,0.1382941382941383,0.13087709650811108,0,0,True,False,False,False,False,True,False,0
-4.0,0,15.669722222222223,0.0,3,11,1.0,89.9,14.21,89.9,89.9,6.3265,1.0,104.11,600.0,1.0,115.0,0.10052447552447552,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
9.0,1,26.73138888888889,4.0,1,23,1.0,109.9,15.53,109.9,109.9,7.0766,1.0,125.43,500.0,2.0,595.0,0.10869565217391304,0.1805944600062247,0,0,False,False,False,False,False,True,False,1
-32.0,0,24.5825,0.0,0,0,2.0,130.4,97.28,65.2,90.9,1.3405,10.0,227.68,350.0,1.0,300.0,0.1382941382941383,0.16715976331360946,0,0,True,False,False,False,False,False,True,1
-7.0,0,1.6355555555555557,0.0,0,1,1.0,47.9,12.79,47.9,47.9,3.7451,2.0,60.69,200.0,4.0,406.0,0.11785260482846252,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-7.0,0,25.156388888888888,7.0,2,11,1.0,178.99,13.69,178.99,178.99,13.0745,8.0,192.68,292.0,2.0,1088.0,0.13500980916711253,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-17.0,0,0.9513888888888888,1.0,6,13,1.0,30.1,33.24,30.1,30.1,0.9055,3.0,63.34,850.0,2.0,1313.0,0.12067486416928797,0.15217391304347827,0,0,True,False,False,False,False,True,False,0
-5.0,0,38.780833333333334,5.0,3,11,1.0,279.0,34.19,279.0,279.0,8.1603,1.0,313.19,16450.0,1.0,1009.0,0.1382941382941383,0.11095673837014325,1,0,False,False,False,False,False,False,True,1
-10.0,0,0.9130555555555555,1.0,0,21,1.0,186.9,38.0,186.9,186.9,4.9184,4.0,224.9,100.0,4.0,331.0,0.1388888888888889,0.14467312348668282,0,0,True,False,False,False,False,False,False,1
-5.0,0,47.969166666666666,1.0,1,13,1.0,49.0,14.1,49.0,49.0,3.4752,1.0,63.1,3000.0,2.0,2435.0,0.14926077382824787,0.11095673837014325,0,0,True,False,False,False,False,True,False,0
-13.0,0,0.1922222222222222,2.0,5,12,1.0,84.9,15.35,84.9,84.9,5.5309,1.0,100.25,800.0,5.0,556.0,0.11685276551545053,0.1805944600062247,0,0,True,False,False,False,False,True,False,0
-6.0,0,0.17333333333333334,0.0,6,23,1.0,179.0,9.41,179.0,179.0,19.0223,2.0,188.41,425.0,1.0,102.0,0.11785260482846252,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
0.0,0,0.2633333333333333,3.0,5,15,1.0,78.0,28.95,78.0,78.0,2.6943,4.0,106.95,850.0,6.0,769.0,0.12067486416928797,0.12142857142857143,0,0,True,False,False,False,False,True,False,0
-16.0,0,31.927777777777777,4.0,2,18,1.0,39.9,26.89,39.9,39.9,1.4838,1.0,66.79,1207.0,6.0,1710.0,0.13012618296529968,0.16841317365269462,0,0,False,False,False,False,False,True,False,0
-14.0,0,29.314444444444444,1.0,0,21,1.0,27.9,15.1,27.9,27.9,1.8477,1.0,43.0,200.0,2.0,716.0,0.1456675176452921,0.11095673837014325,0,0,False,False,False,False,False,False,True,0
-29.0,0,87.20055555555555,3.0,4,12,1.0,445.0,63.17,445.0,445.0,7.0445,1.0,508.17,683.0,1.0,1455.0,0.11450641826650006,0.14467312348668282,0,0,False,False,False,False,False,False,True,0
-7.0,0,0.26916666666666667,1.0,0,17,1.0,36.9,12.79,36.9,36.9,2.8851,4.0,49.69,700.0,1.0,192.0,0.15525212342758843,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-12.0,0,0.19361111111111112,2.0,4,18,1.0,119.99,34.2,119.99,119.99,3.5085,4.0,154.19,6050.0,1.0,1893.0,0.12067486416928797,0.1805944600062247,0,0,True,False,False,False,False,False,False,0
7.0,1,2.8891666666666667,18.0,4,21,1.0,339.0,17.12,339.0,339.0,19.8014,10.0,356.12,14300.0,6.0,664.0,0.11821305841924398,0.11095673837014325,0,0,True,False,False,False,True,False,False,1
-20.0,0,0.24222222222222223,3.0,4,17,1.0,69.9,25.77,69.9,69.9,2.7125,9.0,95.67,281.0,5.0,658.0,0.1145684155708892,0.13130841121495326,0,0,True,False,False,False,False,False,True,0
-31.0,0,0.16194444444444445,1.0,5,23,1.0,99.0,22.62,99.0,99.0,4.3767,1.0,121.62,450.0,3.0,1847.0,0.10052447552447552,0.16715976331360946,0,0,False,True,False,False,False,False,True,0
-12.0,0,11.775,0.0,0,16,1.0,14.49,7.87,14.49,14.49,1.8412,1.0,22.36,125.0,1.0,1782.0,0.11450641826650006,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
-11.0,0,0.15833333333333333,0.0,3,13,1.0,139.0,14.72,139.0,139.0,9.4429,7.0,153.72,8875.0,4.0,511.0,0.12067486416928797,0.1805944600062247,0,0,True,False,False,False,False,False,False,1
-18.0,0,0.2388888888888889,1.0,6,20,1.0,36.9,17.92,36.9,36.9,2.0592,1.0,54.82,650.0,1.0,521.0,0.1145684155708892,0.16715976331360946,0,0,True,False,False,False,False,False,False,0
-4.0,0,8.307777777777778,0.0,3,16,1.0,69.9,12.43,69.9,69.9,5.6235,5.0,82.33,2600.0,6.0,903.0,0.14926077382824787,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-11.0,0,0.3338888888888889,1.0,6,11,1.0,33.9,18.34,33.9,33.9,1.8484,1.0,52.24,1150.0,2.0,891.0,0.1145684155708892,0.1207464324917673,0,0,True,False,False,False,False,False,True,0
-15.0,0,31.94,0.0,2,20,1.0,115.0,15.56,115.0,115.0,7.3907,1.0,130.56,450.0,1.0,724.0,0.07450980392156863,0.11095673837014325,0,0,False,False,False,False,False,False,True,0
-9.0,0,36.846666666666664,3.0,3,14,1.0,39.47,13.37,39.47,39.47,2.9521,1.0,52.84,1700.0,2.0,1775.0,0.13189771197846567,0.11095673837014325,1,0,False,False,False,False,False,True,False,0
-17.0,0,18.877777777777776,0.0,1,13,1.0,53.44,18.47,53.44,53.44,2.8933,1.0,71.91,410.0,6.0,1160.0,0.12140575079872204,0.11000991080277503,0,0,False,False,False,False,False,False,True,0
-16.0,0,0.25305555555555553,0.0,3,14,2.0,120.0,31.04,60.0,60.0,3.866,2.0,151.04,100.0,2.0,1153.0,0.1145684155708892,0.1207464324917673,0,0,True,False,False,False,False,False,True,1
-13.0,0,0.14583333333333334,4.0,4,0,1.0,369.0,17.33,369.0,369.0,21.2925,10.0,386.33,394.0,2.0,476.0,0.13500980916711253,0.1805944600062247,0,0,True,False,False,False,False,True,False,0
