feature,importance
delivery_delay_days,0.6278128710808398
total_items,0.25742145520357945
carrier_wait_days,0.23100161771751532
season_Summer,0.182217915093062
payment_installments,0.16960614958764778
category_bad_rate,0.16323704376986364
state_bad_rate,0.1597434580262577
season_Winter,0.11669478939051915
same_state,0.10984070127419968
season_Spring,0.09431106524348734
avg_price,0.09146129130618673
approval_wait_hours,0.08034402545328981
product_photos_qty,0.07887702111646754
max_price,0.07433699827438818
pay_credit_card,0.07040965636372565
is_late,0.07035006217640771
product_description_lenght,0.06638373658124178
total_freight,0.06597501727857928
product_weight_g,0.050005740627237324
order_dayofweek,0.044134887305308734
price_to_freight_ratio,0.04055188909851393
order_hour,0.03667686736745228
pay_voucher,0.027585274677655577
total_price,0.023935872876091644
payment_value,0.023252478483517455
customer_past_bad_orders,0.019993289742831377
pay_debit_card,0.012530804048274004
pay_not_defined,0.0
